一级知识点,二级知识点,三级知识点,四级知识点,五级知识点,六级知识点,七级知识点,前置知识点,后置知识点,关联知识点,知识点说明
,,,,合取联结词,,,,,,"特性: $P \land Q$ 为真当且仅当 $P$ 和 $Q$ 同时为真。
；用途: 构造表示两个命题同时为真的复合命题。
；定义: 表示两个命题同时为真的逻辑联结词，记作 $P \land Q$。
"
,,,,合取运算,,,,,,"用途: 实现关系表中数据的删除操作。
；定义: 谓词公式的合取运算。
"
,,,,合并结点,,,,,删除操作,"步骤: 下移双亲关键字，合并子树指针，调整关键字和指针位置，修改结点关键字个数。
；条件: 相邻结点关键字个数均不足。
"
,,,,合式公式,,,,运算优先级,,"定义: 按特定规则构造的命题演算公式。
；规则: 包括单变量、否定、合取、析取、条件、双条件等构造规则。
"
,,,,后域,,,,,,"定义: 二元关系R的后域是集合B；关系的值域。
；示例: R∘S的后域是S的后域C。
"
,,,,向下取整,,,,,,"定义: 对实数进行向下取整，即取不超过该数的最大整数部分。
；符号: 表示为$\lfloor xfloor$
"
,,,,向量,,,,,,"特性: 具有特定运算及运算性质
；类型: 数学对象
"
,,,,否定,,,内否,,,"用途: 构成否定命题；用于构造命题公式的否定形式；在合取式和析取式中使用
；定义: 命题联结词，表示对命题的否定；命题联结词，表示命题的相反；逻辑运算之一，表示命题的相反；对命题变元进行取反操作
；位置: 在范式结构中位于内层
"
,,,,命题公式与等值演算,,,,,,"用途: 进行命题逻辑的推导和简化。
；内容: 命题逻辑中公式的构造和等值变换方法。
"
,,,,命题的基本概念与运算性质,,,,,,"用途: 构建命题逻辑的理论基础。
；内容: 命题逻辑的基础知识，包括命题的定义和运算规则。
"
,,,,命题逻辑的推理系统与方法,,,,,,"用途: 用于逻辑推理和问题求解。
；定义: 基于命题逻辑的推理规则和方法。
"
,,,,和位,,,,,,"定义: 加法器输出的二进制和。
；来源: 半加法器和全加法器的输出之一。
"
,,,,哈密顿路径存在性,,,,,,"问题: 判定图中所有结点的唯一性遍历路径是否存在。
；难度: 复杂，目前无直接充要条件。
"
,,,,回路数目,,,,,,"定义: 从结点 vi 到其自身长度为 m 的回路数量。
；计算: 通过邻接矩阵的 m 次幂对角线元素 aii^(m) 表示。
"
,,,,国王大赦囚犯问题,,,,,,"用途: 展示算法设计的策略和逻辑。
；描述: 国王按规则释放囚犯的问题。
；特点: 涉及递归和条件判断。
"
,,,,基本化简律,,,,,,"用途: 用于简化命题公式的演算。
；定义: 永真蕴含关系中的一类基本规则。
；示例: 如 $I_1: G \wedge H \Rightarrow G$ 和 $I_2: G \wedge H \Rightarrow H$。
"
,,,,基本性质,,,,,,"特性: 决定关系类型的满足程度和状态。
；方法: 通过加闭包调整关系以具备所需性质。
；用途: 用于关系问题的求解；作为关系模型分类的标准。
；定义: 关系的重要性质，如自反性、对称性和传递性；根树模型的基本性质，反映其层次结构特征。
；特点: 并非所有二元关系都具备；包括树根、树枝和树叶等概念。
；应用: 在关系模型求解中广泛应用。
"
,,,,基本等值公式,,,,,,"用途: 引用于含有量词的公式推理。
；应用: 适用于谓词逻辑中的等值关系推理。
"
,,,,基本等值式,,,公理库,,,"用途: 构成谓词公式推理的公理库部分。
；定义: 关于谓词公式的所有基本等值式。
"
,,,,基本算法,,,,,,"用途: 用于处理和分析根树结构。
；定义: 针对根树模型的基本算法。
"
,,,,基本蕴含式,,,,,,"定义: 重要的谓词公式蕴含式，作为推演基础。
；来源: 命题逻辑中永真蕴含式的谓词公式代换实例。
"
,,,,基本蕴涵公式,,,,,,"用途: 引用于含有量词的公式推理。
；应用: 适用于谓词逻辑中的蕴涵关系推理。
"
,,,,基本计数技术,,,鸽笼原理;容斥原理,,,"用途: 解决有限集合的计数问题。
；内容: 包括容斥原理、鸽笼原理等。
"
,,,,基本逻辑蕴含式,,,公理库,,,"用途: 构成谓词公式推理的公理库部分。
；定义: 关于谓词公式的所有基本逻辑蕴含式。
"
,,,,基本附加律,,,,,,"用途: 简化命题公式的等值演算过程。
；定义: G⇒G∨H 和 H⇒G∨H 的永真蕴含关系。
"
,,,,基础条款,,,自然数,,,"内容: 空集属于自然数集合，定义为自然数0。
"
,,,,基础步骤,,,,正整数,,"定义: 归纳证明的初始条件验证。
；作用: 确保命题在初始情况下为真。
"
,,,,增广路径,,,,,,"定义: 在残留网络中，从源点到汇点的路径，可增加流量。
；作用: 用于Ford-Fulkerson算法中增加网络流值。
"
,,,,复合命题,,,原子命题,,,"定义: 可以分解为更简单陈述句的命题；由联结词连接若干原子命题构成的命题；由简单命题通过逻辑联结词构成的命题
；形成: 通过联结词和标点符号联结原子命题
；特点: 由原子命题组合而成
；示例: 安徽不是一个国家；非 P 是由命题 P 衍生而来的复合命题
"
,,,,复合命题函数,,,,,,"组成: 包含联结词如neg, land, lor等。
；定义: 简单命题函数通过联结词逻辑演算得到的表达式。
"
,,,,复数环,,,环代数结构,,,"定义: 复数集上的环结构。
；实例: ⟨C,+×⟩，C为复数集。
"
,,,,外层,,,,,,"作用: 统一放置合取或析取运算。
；位置: 命题公式范式的最外层。
"
,,,,多元函数,,,,,,"定义: 从多个集合的笛卡尔积到一个集合的映射。
；应用: 如关系数据库的多元关系演算。
"
,,,,多阶段过程,,,,,,"定义: 将复杂问题分解为多个连续阶段的过程。
；应用: 动态规划中将问题分解为多个单阶段问题。
"
,,,,多项式级增长,,,,,,"定义: 复杂度随问题规模多项式增长的类型。
；特点: 常见于多重嵌套循环算法。
；示例: 如O(n^2)、O(n^3)等。
"
,,,,大数据知识发现,,,,,,"定义: 从海量数据中总结或发现有价值规律的研究课题。
；关联: 关系演算在大数据环境下应用的相关领域。
"
,,,,"如果…, 那么…",,,联结词,,,"用途: 用于表示命题间的条件关系。
；定义: 表示条件关系的逻辑联结词。
；符号: →
"
,,,,子句,,,,,,"定义: 有限个文字的析取，如$P\lor Q\lor R$。
；结构: 两层结构，内层否定，外层析取。
"
,,,,子环,,,环代数结构,,,"定义: 环的子集在原环运算下仍为环。
；相关: 与群结构的子群类似。
"
,,,,存在推广规则,,,谓词逻辑推理,,,"要求: (1)式中P(y)中无自由变量x；(2)式中c为个体域中的某个或某些个体常量。
；定义: 如果对于个体域中某个或某些指定的个体满足P(c)为真，那么必有∃x P(x)为真。
；形式: (1)P(y)⇒ ∃x P(x); (2)P(c)⇒ ∃x P(x)
"
,,,,存在特指规则,,,谓词逻辑推理,,,"定义: 若$\exists x\ P(x)$为真，则存在个体$c$使$P(c)$为真。
；形式: $\exists x\ P(x)\Rightarrow\ P(c)$。
；注意: 引入的$c$为特定个体常量，不能与其他规则引入的个体混淆。
"
,,,,存在量词,,,存在量化,合取项,量词否定;量词展开,"展开: 有限集时等价于谓词的析取运算。
；消除: 在无∃型前束范式中，通过引入个体函数或常量来消除。
；用法: 特性谓词作为合取项加入。
；真值: 取值为真当至少一个个体使谓词为真；取值为假当所有个体使谓词为假。
；定义: 对谓词中变量进行存在约束的词；表示至少存在一个个体使谓词为真的量词；表示存在个体满足某性质的量词；表示存在至少一个个体满足条件的量词。
；作用: 表示至少一个个体满足条件
；位置: 在∃型前束范式中排在全称量词左边。
；符号: ∃
"
,,,,孤立结点,,,关联矩阵;图模型,,,"特性: 在弗洛莱算法中，若某边去掉后端点成孤立结点，则一并去掉；无关联边；关联矩阵中对应行元素全为零。
；定义: 没有与任何边相连的结点；不与任何结点相邻接的结点；不与任何边相连的结点。
；识别: 通过关联矩阵的零行识别。
"
,,,,安全素数,,,RSA算法,,,"用途: 在RSA算法中，用于生成密钥对。
；定义: 满足特定条件的素数，用于提高RSA算法安全性。
；条件: 足够长、差值小、含大素数因子。
"
,,,,完全k元树,,,,,,"特性: 所有分支点儿子数相等。
；定义: 每个分支点都恰有k个儿子的k元树。
；应用: 用于结构化数据的组织和表示。
"
,,,,完全剩余系,,,,,,"用途: 表示模m的所有可能余数。
；定义: 从每个模m同余类中取一个整数构成的m元有限集合。
；特点: 包含所有模m的余数。
"
,,,,定理1.19,,,常系数齐次线性递推关系,,,"结论: 唯一解
；条件: 满足初始条件
；内容: 任意给出k个常数b0, b1, ..., bk-1，有且仅有唯一一个数列满足初始条件的解。
"
,,,,定理1.20,,,特征根,,,"结论: un=q^n是解当且仅当q是特征根
；条件: q是非0复数
；内容: 设q是非0复数，un=q^n是递推关系式的解当且仅当q是其特征根。
"
,,,,定理1.21,,,递推关系,,,"结论: ∑ci*gi(n)也是解
；条件: un=gi(n)是解，ci为常数
；内容: 设un=gi(n)均为递推关系式的解，ci为任意常数，则∑ci*gi(n)也是解。
"
,,,,定理1.22,,,递推关系,,,"结论: un=c1*q1^n+c2*q2^n+...+ck*qk^n是通解
；条件: 特征根彼此相异
；内容: 若递推关系式的k个特征根q1, q2, ..., qk彼此相异，则un=c1*q1^n+c2*q2^n+...+ck*qk^n是通解。
"
,,,,定理10.3,,,,,,"用途: 判定哈密顿图的必要条件。
；内容: 哈密顿图中，任意非空子集的连通分支数不大于子集节点数。
"
,,,,定理10.4,,,,,,"用途: 判定哈密顿图的充分条件。
；内容: 任意两不相邻节点度数和大于等于n-1，则存在哈密顿通路。
"
,,,,定理10.5,,,,,,"定义: 奥尔定理，判定哈密顿回路的充分条件。
；结论: 图中存在哈密顿回路。
；条件: 任意两个不相邻结点的度数之和≥n。
"
,,,,定理11.11,,,同余关系,,,"结论: 当且仅当a∼b和c∼d时，有ac∼bd。
；条件: 等价关系关于二元运算是一个同余关系。
"
,,,,定理11.12,,,等价关系,,,"定义: 同态映射导出的自然等价关系。
；结论: 由同态映射导出的关系是等价关系。
；条件: 两个同态的代数结构及其同态映射。
"
,,,,定理11.13,,,同余关系,,,"结论: 由同态映射导出的自然等价关系是同余关系。
；条件: 两个同态的代数结构及其同态映射。
"
,,,,定理12.10,,,,,,"用途: 判定子群的另一种方法。
；结论: 子集是群的子群。
；条件: 子集满足a*b^-1仍在子集中。
"
,,,,定理12.11,,,,,,"用途: 特别适用于有限群的子群判定。
；结论: 有限子集是群的子群。
；条件: 有限子集满足封闭性。
"
,,,,定理12.8,,,逆元;单位元,,,"内容: 子群的单位元是群的单位元，子群元素的逆元是其在群的逆元。
；应用: 用于确定子群的基本性质。
"
,,,,定理12.9,,,,,封闭性,"用途: 判定子群的方法。
；结论: 子集是群的子群。
；条件: 子集满足封闭性和逆元存在性。
"
,,,,定理2.10,,,最大公因数,,,"结论: (1) 若b|ac且gcd(a,b)=1，则b|c；(2) 若b|c且a|c，则ab|c。
；条件: 整数a, b, c
"
,,,,定理2.11,,,最大公因数,,,"结论: gcd(a,bk)=gcd(a,k)
；条件: 整数a, b, k且gcd(a,b)=1
"
,,,,定理2.5,,,最大公因数,,,"用途: 为最大公因数的构造算法——辗转相除法提供理论基础。
；结论: $\operatorname*{gcd}(b,a)=\operatorname*{gcd}(a,r)$。
；条件: 假设$a$和$b$是任意给定的两个整数，且有$b=aq+r$，$0\leq|r|<a$。
"
,,,,定理2.6,,,最大公因数,,,"意义: 最大公因数可以表示为$a$和$b$的线性组合。
；结论: 存在整数$k_1$和$k_2$，使得$\operatorname*{gcd}(b,a)=k_1\cdot b+k_2\cdot a$。
；条件: 假设$a$和$b$是任意两个整数。
"
,,,,定理2.7,,,最大公因数,,,"用途: 考察最大公因数的性质。
；结论: $d$一定能整除$\operatorname*{gcd}(a,b)$。
；条件: 假设$a$和$b$是任意给定的两个整数，$d$是它们的任意一个公因数。
"
,,,,定理2.8,,,互素,,,"结论: 则s与t互素。
；条件: 若gcd(a,b)=as+bt。
"
,,,,定理2.9,,,互素,,,"结论: a与乘积b1b2...bn也互质。
；条件: 整数a与整数b1,b2,...,bn中的每一个都互质。
"
,,,,定理5.1,,,笛卡尔积,,,"公式: A×(B∪C)=(A×B)∪(A×C); A×(B∩C)=(A×B)∩(A×C); (A∪B)×C=(A×C)∪(B×C); (A∩B)×C=(A∪C)×(B×C)
；内容: 笛卡尔积对集合的并运算和交运算满足分配律。
"
,,,,定理5.14,,,传递闭包;对称闭包;自反闭包,,,"对象: A上二元关系R
；内容: R是自反、对称、传递的充要条件分别为r(R)=R, s(R)=R, t(R)=R。
"
,,,,定理5.15,,,传递闭包;对称闭包;自反闭包,,,"对象: A上二元关系R
；内容: R自反则s(R)、t(R)自反；R对称则r(R)、t(R)对称；R传递则r(R)传递。
"
